                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                  2e-05,                      1,                      1,                0.26538,              0.0029215,              0.0029215,              0.0029215
                    146,                  1e-05,                      1,                      1,                0.26538,               0.002872,               0.002872,               0.002872
                    147,                  1e-05,                      1,                      1,                0.26538,              0.0028225,              0.0028225,              0.0028225
                    148,                  4e-05,                      1,                      1,                0.26539,               0.002773,               0.002773,               0.002773
                    149,                  2e-05,                      1,                      1,                0.26539,              0.0027235,              0.0027235,              0.0027235
                    150,                  4e-05,                      1,                      1,                0.26539,               0.002674,               0.002674,               0.002674
                    151,                  1e-05,                      1,                      1,                0.26539,              0.0026245,              0.0026245,              0.0026245
                    152,                  5e-05,                      1,                      1,                0.26539,               0.002575,               0.002575,               0.002575
                    153,                  3e-05,                      1,                      1,                0.26539,              0.0025255,              0.0025255,              0.0025255
                    154,                  5e-05,                      1,                      1,                0.26539,               0.002476,               0.002476,               0.002476
                    155,                  2e-05,                      1,                      1,                0.26539,              0.0024265,              0.0024265,              0.0024265
                    156,                  7e-05,                      1,                      1,                0.26539,               0.002377,               0.002377,               0.002377
                    157,                  2e-05,                      1,                      1,                0.26539,              0.0023275,              0.0023275,              0.0023275
                    158,                  6e-05,                      1,                      1,                0.26539,               0.002278,               0.002278,               0.002278
                    159,                  5e-05,                      1,                      1,                0.26539,              0.0022285,              0.0022285,              0.0022285
                    160,                  2e-05,                      1,                      1,                0.26539,               0.002179,               0.002179,               0.002179
                    161,                  1e-05,                      1,                      1,                0.26539,              0.0021295,              0.0021295,              0.0021295
                    162,                  5e-05,                      1,                      1,                0.26539,                0.00208,                0.00208,                0.00208
                    163,                  2e-05,                      1,                      1,                0.26539,              0.0020305,              0.0020305,              0.0020305
                    164,                  1e-05,                      1,                      1,                0.26539,               0.001981,               0.001981,               0.001981
                    165,                  3e-05,                      1,                      1,                0.26539,              0.0019315,              0.0019315,              0.0019315
                    166,                 0.0001,                      1,                      1,                0.26539,               0.001882,               0.001882,               0.001882
                    167,                0.00014,                      1,                      1,                0.26539,              0.0018325,              0.0018325,              0.0018325
                    168,                  7e-05,                      1,                      1,                0.26539,               0.001783,               0.001783,               0.001783
                    169,                  6e-05,                      1,                      1,                0.26539,              0.0017335,              0.0017335,              0.0017335
                    170,                  3e-05,                      1,                      1,                0.26539,               0.001684,               0.001684,               0.001684
                    171,                  5e-05,                      1,                      1,                0.26539,              0.0016345,              0.0016345,              0.0016345
